zone,food_category,day_of_week,hour,month,is_weekend,is_evening,is_morning,zone_ngos_active,listings_in_zone,avg_distance_km,demand_kg,urgency_score,claimed_within_2hrs
North Delhi,Cooked Meals,6,13,3,1,0,0,9,4,15.8,16.2,0.91,1
North Delhi,Bakery,3,6,7,0,0,0,9,5,8.5,14.3,0.64,1
Dwarka,Bakery,1,15,4,0,0,0,11,1,13.8,5.0,0.44,0
North Delhi,Cooked Meals,4,21,9,0,1,0,10,3,2.4,19.9,0.75,0
South Delhi,Bakery,0,8,11,0,0,1,8,2,17.0,10.5,0.63,0
West Delhi,Dairy,4,7,10,0,0,1,12,6,16.9,5.0,0.42,1
West Delhi,Rice & Grains,5,16,4,1,0,0,4,5,9.0,19.2,0.91,1
South Delhi,Cooked Meals,3,9,2,0,0,1,10,5,3.7,19.4,0.85,1
Noida,Cooked Meals,1,17,5,0,1,0,10,5,11.6,14.8,0.49,1
North Delhi,Rice & Grains,6,15,11,1,0,0,4,5,3.4,19.4,0.97,1
South Delhi,Rice & Grains,4,10,5,0,0,1,5,6,4.9,17.6,0.88,1
Central Delhi,Dairy,3,14,1,0,0,0,8,5,2.2,5.0,0.75,1
Noida,Bakery,5,14,3,1,0,0,10,7,10.8,9.5,0.62,0
South Delhi,Cooked Meals,5,10,9,1,0,1,7,3,8.6,28.2,0.75,1
North Delhi,Fruits & Vegetables,2,7,6,0,0,1,5,2,7.3,10.5,0.61,1
Gurgaon,Dairy,5,10,4,1,0,1,4,7,1.9,18.5,0.61,0
Noida,Packaged Goods,6,13,5,1,0,0,3,7,15.9,5.0,0.55,1
Dwarka,Bakery,1,20,6,0,1,0,5,4,1.9,13.9,0.5,1
West Delhi,Packaged Goods,2,14,2,0,0,0,6,6,12.1,5.0,0.5,0
Gurgaon,Rice & Grains,6,16,1,1,0,0,6,3,11.1,11.8,0.79,1
Central Delhi,Cooked Meals,0,19,6,0,1,0,7,7,11.5,18.6,0.69,0
South Delhi,Packaged Goods,4,12,5,0,0,0,8,1,10.1,7.0,0.45,1
West Delhi,Fruits & Vegetables,3,8,11,0,0,1,11,6,12.4,11.4,0.55,0
South Delhi,Rice & Grains,2,22,5,0,0,0,7,7,13.0,16.2,0.7,0
East Delhi,Bakery,3,18,11,0,1,0,4,5,8.2,5.0,0.48,0
North Delhi,Fruits & Vegetables,2,12,7,0,0,0,11,6,9.2,8.8,0.49,0
Dwarka,Rice & Grains,1,22,8,0,0,0,4,2,6.2,9.1,0.59,0
Noida,Cooked Meals,6,13,11,1,0,0,5,3,1.9,23.4,0.77,1
West Delhi,Packaged Goods,4,8,8,0,0,1,12,4,13.4,7.9,0.44,0
Gurgaon,Packaged Goods,3,13,3,0,0,0,2,2,14.3,5.0,0.37,0
West Delhi,Bakery,6,22,8,1,0,0,5,2,9.0,11.2,0.94,1
Dwarka,Rice & Grains,4,16,8,0,0,0,10,7,15.2,8.9,0.58,0
Dwarka,Bakery,5,21,8,1,1,0,5,5,14.1,12.8,0.55,1
Dwarka,Rice & Grains,1,14,8,0,0,0,6,4,6.0,15.6,0.62,1
Noida,Dairy,0,10,3,0,0,1,4,4,2.6,12.8,0.4,1
Gurgaon,Fruits & Vegetables,4,20,7,0,1,0,8,7,16.4,15.8,0.31,1
North Delhi,Dairy,3,21,1,0,1,0,6,7,15.6,17.5,0.81,0
Gurgaon,Dairy,5,13,8,1,0,0,8,8,2.0,5.1,0.61,1
Noida,Rice & Grains,5,18,12,1,1,0,9,3,17.7,16.9,0.67,1
North Delhi,Packaged Goods,4,6,2,0,0,0,4,8,4.5,5.0,0.51,0
Central Delhi,Packaged Goods,2,12,8,0,0,0,8,5,13.9,5.0,0.62,1
Gurgaon,Fruits & Vegetables,6,8,8,1,0,1,10,1,18.0,5.8,0.8,1
Noida,Bakery,5,8,11,1,0,1,2,4,4.8,6.1,0.61,1
North Delhi,Dairy,1,13,3,0,0,0,3,4,9.2,15.3,0.47,0
Central Delhi,Fruits & Vegetables,1,9,3,0,0,1,3,1,16.8,15.2,0.78,0
Gurgaon,Packaged Goods,5,12,2,1,0,0,12,4,3.2,5.0,0.59,0
Central Delhi,Rice & Grains,4,9,10,0,0,1,7,7,12.4,18.1,0.77,0
South Delhi,Dairy,5,16,1,1,0,0,9,2,8.7,14.0,0.76,0
Noida,Rice & Grains,6,20,12,1,1,0,4,5,11.7,19.0,0.75,1
Dwarka,Packaged Goods,3,14,6,0,0,0,3,5,16.0,6.8,0.46,0
West Delhi,Packaged Goods,4,18,6,0,1,0,7,3,9.5,5.0,0.47,1
Noida,Fruits & Vegetables,2,14,10,0,0,0,6,1,10.0,9.0,0.4,0
West Delhi,Cooked Meals,1,19,8,0,1,0,5,8,12.2,24.9,0.65,0
Dwarka,Packaged Goods,6,6,2,1,0,0,8,4,6.6,5.0,0.69,1
Noida,Packaged Goods,4,22,6,0,0,0,10,6,7.3,5.0,0.48,0
Dwarka,Fruits & Vegetables,2,14,4,0,0,0,5,6,3.5,14.0,0.42,1
East Delhi,Bakery,1,21,5,0,1,0,10,5,17.7,15.8,0.56,0
West Delhi,Fruits & Vegetables,1,17,3,0,1,0,10,3,6.0,15.8,0.71,1
North Delhi,Dairy,2,10,11,0,0,1,9,2,15.9,11.1,0.51,0
Central Delhi,Packaged Goods,3,20,6,0,1,0,2,5,17.0,6.6,0.49,1
Dwarka,Cooked Meals,6,8,7,1,0,1,11,1,4.0,16.6,0.81,1
Central Delhi,Cooked Meals,1,9,9,0,0,1,11,4,14.3,20.1,0.81,0
Gurgaon,Packaged Goods,3,15,10,0,0,0,6,1,11.6,5.0,0.52,0
South Delhi,Bakery,5,12,5,1,0,0,4,4,4.4,15.1,1.0,1
South Delhi,Bakery,0,19,8,0,1,0,9,5,2.0,18.3,0.56,1
Central Delhi,Rice & Grains,2,20,2,0,1,0,6,4,8.5,14.5,0.74,0
West Delhi,Rice & Grains,1,14,3,0,0,0,4,5,11.3,9.7,0.64,1
Central Delhi,Packaged Goods,0,20,12,0,1,0,8,5,9.8,13.4,0.57,1
Dwarka,Packaged Goods,0,7,7,0,0,1,11,5,1.9,5.0,0.27,0
West Delhi,Rice & Grains,6,6,11,1,0,0,11,1,14.1,12.9,0.86,0
East Delhi,Packaged Goods,4,20,5,0,1,0,11,7,12.0,9.5,0.35,1
Dwarka,Cooked Meals,3,17,7,0,1,0,12,2,15.7,15.2,0.61,1
Noida,Packaged Goods,5,21,5,1,1,0,8,1,9.0,5.0,0.62,0
Noida,Fruits & Vegetables,2,9,7,0,0,1,2,8,8.3,8.5,0.36,0
West Delhi,Dairy,2,21,11,0,1,0,2,4,5.9,14.3,0.6,1
East Delhi,Fruits & Vegetables,3,21,2,0,1,0,12,4,13.2,18.1,0.66,1
Central Delhi,Dairy,0,19,2,0,1,0,3,8,17.1,10.8,0.57,1
East Delhi,Packaged Goods,5,15,9,1,0,0,8,8,17.7,11.7,0.73,0
West Delhi,Packaged Goods,4,10,7,0,0,1,11,3,15.8,9.2,0.84,1
Central Delhi,Packaged Goods,2,22,5,0,0,0,6,5,15.3,11.4,0.69,0
Dwarka,Bakery,3,21,6,0,1,0,10,7,9.0,14.1,0.54,1
Noida,Bakery,5,13,10,1,0,0,8,1,6.7,7.5,0.72,1
Dwarka,Rice & Grains,6,18,7,1,1,0,12,3,9.7,14.2,0.72,0
North Delhi,Bakery,4,16,2,0,0,0,9,2,10.2,6.7,0.55,0
Dwarka,Cooked Meals,5,10,7,1,0,1,4,2,9.2,28.5,0.59,0
Central Delhi,Fruits & Vegetables,4,18,11,0,1,0,7,7,17.2,20.0,0.49,1
Dwarka,Dairy,0,8,4,0,0,1,6,4,13.8,7.3,0.62,0
Gurgaon,Cooked Meals,6,9,8,1,0,1,6,1,2.3,14.2,0.62,1
North Delhi,Fruits & Vegetables,2,17,7,0,1,0,10,7,10.8,10.1,0.64,1
East Delhi,Bakery,1,8,10,0,0,1,11,4,9.7,5.6,0.54,0
East Delhi,Bakery,3,14,8,0,0,0,2,8,16.4,8.7,0.45,1
East Delhi,Cooked Meals,3,17,10,0,1,0,8,5,9.0,27.6,0.69,1
Central Delhi,Bakery,3,21,2,0,1,0,11,6,11.0,5.0,0.64,1
Central Delhi,Cooked Meals,6,18,5,1,1,0,12,1,16.5,27.6,1.0,1
Dwarka,Fruits & Vegetables,6,13,10,1,0,0,5,4,11.7,7.6,0.69,0
East Delhi,Rice & Grains,0,7,5,0,0,1,2,6,13.6,15.4,0.68,0
South Delhi,Fruits & Vegetables,2,19,3,0,1,0,10,6,10.3,11.5,0.64,1
Central Delhi,Bakery,2,21,5,0,1,0,7,2,9.2,12.0,0.55,0
South Delhi,Bakery,6,13,11,1,0,0,8,6,3.0,25.2,0.89,1
Gurgaon,Cooked Meals,2,9,8,0,0,1,12,5,11.1,5.0,0.62,0
Noida,Cooked Meals,5,13,8,1,0,0,10,6,16.6,24.6,0.85,1
West Delhi,Rice & Grains,0,20,12,0,1,0,8,2,3.8,6.4,0.52,1
North Delhi,Fruits & Vegetables,3,9,2,0,0,1,10,3,7.9,17.9,0.5,1
Noida,Rice & Grains,5,19,10,1,1,0,4,7,12.3,18.6,0.8,0
Dwarka,Dairy,3,14,1,0,0,0,5,8,8.8,5.0,0.51,0
West Delhi,Fruits & Vegetables,0,17,9,0,1,0,12,6,2.5,5.0,0.42,0
Central Delhi,Bakery,0,20,2,0,1,0,12,1,2.3,13.1,0.5,0
Noida,Bakery,1,12,2,0,0,0,10,4,11.2,14.7,0.3,0
West Delhi,Fruits & Vegetables,6,10,10,1,0,1,4,3,10.4,11.7,0.74,1
East Delhi,Cooked Meals,5,6,3,1,0,0,5,6,1.8,25.4,0.68,1
Central Delhi,Cooked Meals,1,19,9,0,1,0,3,8,8.9,27.9,0.73,1
Noida,Dairy,4,9,8,0,0,1,11,1,13.5,5.0,0.54,0
Central Delhi,Packaged Goods,5,6,1,1,0,0,8,7,12.8,12.9,0.71,0
Dwarka,Rice & Grains,3,8,2,0,0,1,4,2,3.6,11.2,0.51,1
Noida,Packaged Goods,4,22,5,0,0,0,11,7,3.1,5.6,0.47,0
South Delhi,Rice & Grains,5,12,7,1,0,0,5,7,7.1,30.6,0.8,1
Dwarka,Packaged Goods,3,9,6,0,0,1,12,5,7.7,16.7,0.23,0
East Delhi,Rice & Grains,3,8,2,0,0,1,3,7,3.1,12.1,0.65,0
Noida,Bakery,4,7,10,0,0,1,10,6,12.6,8.6,0.38,0
Gurgaon,Fruits & Vegetables,6,19,12,1,1,0,6,5,7.3,11.2,0.6,1
West Delhi,Bakery,5,21,4,1,1,0,7,6,3.4,11.2,0.78,0
Central Delhi,Dairy,1,19,9,0,1,0,11,1,11.5,19.5,0.6,0
Central Delhi,Cooked Meals,1,14,12,0,0,0,7,6,1.6,21.5,0.76,0
East Delhi,Dairy,5,18,2,1,1,0,12,1,3.0,23.0,0.83,1
West Delhi,Packaged Goods,3,20,6,0,1,0,6,6,14.3,5.0,0.39,1
South Delhi,Cooked Meals,1,11,10,0,0,1,3,5,8.8,23.5,0.81,1
Gurgaon,Packaged Goods,4,20,7,0,1,0,10,2,7.2,5.7,0.39,1
South Delhi,Fruits & Vegetables,5,21,9,1,1,0,2,4,8.0,31.0,0.82,1
North Delhi,Cooked Meals,1,15,4,0,0,0,6,5,6.9,16.7,0.63,0
North Delhi,Packaged Goods,5,19,3,1,1,0,10,4,9.8,11.7,0.81,1
Noida,Cooked Meals,3,7,7,0,0,1,3,6,11.0,15.1,0.63,1
Gurgaon,Rice & Grains,5,19,5,1,1,0,2,6,4.3,21.3,0.7,1
Dwarka,Rice & Grains,2,8,7,0,0,1,5,7,11.2,14.3,0.51,0
South Delhi,Packaged Goods,6,15,12,1,0,0,7,3,2.8,14.2,0.79,1
South Delhi,Dairy,4,12,6,0,0,0,12,3,5.4,14.9,0.75,1
East Delhi,Fruits & Vegetables,1,11,10,0,0,1,12,2,4.4,6.6,0.76,1
Dwarka,Packaged Goods,6,20,11,1,1,0,11,6,15.8,5.0,0.5,0
Noida,Bakery,3,8,8,0,0,1,6,5,11.3,12.9,0.52,0
Noida,Dairy,0,15,8,0,0,0,2,6,15.2,11.1,0.55,0
South Delhi,Rice & Grains,6,8,10,1,0,1,8,8,11.1,24.9,0.83,1
North Delhi,Packaged Goods,6,12,6,1,0,0,10,3,17.3,10.2,0.63,1
Dwarka,Cooked Meals,6,16,12,1,0,0,12,3,2.1,20.3,0.76,1
Dwarka,Packaged Goods,4,22,10,0,0,0,7,5,7.9,5.0,0.39,1
Noida,Rice & Grains,4,7,11,0,0,1,3,6,3.1,12.0,0.46,0
Gurgaon,Fruits & Vegetables,2,10,6,0,0,1,12,3,16.6,5.0,0.47,1
Central Delhi,Rice & Grains,5,18,3,1,1,0,3,5,10.7,29.1,0.84,1
Noida,Bakery,5,22,2,1,0,0,8,6,1.8,6.7,0.67,0
Central Delhi,Bakery,1,16,8,0,0,0,4,3,2.8,5.0,0.48,1
South Delhi,Dairy,6,22,1,1,0,0,11,3,11.4,16.6,0.87,1
East Delhi,Bakery,1,11,12,0,0,1,8,6,12.7,10.8,0.67,0
West Delhi,Packaged Goods,4,15,12,0,0,0,5,4,6.6,10.3,0.43,0
Dwarka,Bakery,2,20,8,0,1,0,8,7,17.4,9.2,0.37,0
West Delhi,Dairy,1,14,1,0,0,0,7,2,13.2,9.5,0.51,0
South Delhi,Fruits & Vegetables,0,11,5,0,0,1,10,3,15.2,16.5,0.59,1
South Delhi,Bakery,6,20,6,1,1,0,8,1,8.0,23.9,1.0,0
Noida,Bakery,3,8,6,0,0,1,7,2,15.3,6.6,0.49,1
Noida,Bakery,1,7,5,0,0,1,9,3,14.0,10.6,0.4,0
Dwarka,Packaged Goods,4,6,2,0,0,0,5,3,10.6,6.6,0.43,1
Gurgaon,Cooked Meals,6,15,4,1,0,0,2,4,8.4,13.1,0.65,1
Dwarka,Cooked Meals,0,21,10,0,1,0,12,4,13.4,14.4,0.62,0
Central Delhi,Packaged Goods,0,17,4,0,1,0,4,2,10.1,18.3,0.67,1
Noida,Cooked Meals,4,22,9,0,0,0,8,8,2.2,20.8,0.47,0
Gurgaon,Fruits & Vegetables,2,6,6,0,0,0,7,4,13.6,11.1,0.47,0
South Delhi,Dairy,5,16,3,1,0,0,10,6,14.9,31.1,0.81,1
East Delhi,Rice & Grains,3,21,11,0,1,0,4,2,13.3,11.0,0.54,1
Dwarka,Cooked Meals,2,12,1,0,0,0,2,6,16.9,5.0,0.52,0
Gurgaon,Dairy,3,14,1,0,0,0,5,5,7.4,5.0,0.48,0
North Delhi,Rice & Grains,2,14,2,0,0,0,8,7,13.8,14.3,0.81,0
Gurgaon,Fruits & Vegetables,1,21,12,0,1,0,10,5,14.7,13.5,0.39,0
Gurgaon,Cooked Meals,3,11,9,0,0,1,3,2,6.9,5.4,0.57,0
Central Delhi,Fruits & Vegetables,3,19,3,0,1,0,7,8,2.2,10.0,0.83,0
Noida,Dairy,3,14,11,0,0,0,2,2,12.6,13.9,0.44,0
Gurgaon,Fruits & Vegetables,4,11,1,0,0,1,11,8,2.1,5.0,0.59,1
South Delhi,Bakery,6,17,6,1,1,0,11,1,11.5,20.7,0.97,1
Dwarka,Fruits & Vegetables,2,20,2,0,1,0,10,6,8.1,5.0,0.44,0
Central Delhi,Bakery,0,6,12,0,0,0,10,7,16.6,11.1,0.62,1
South Delhi,Fruits & Vegetables,6,14,12,1,0,0,11,5,13.0,16.6,0.94,1
Dwarka,Bakery,0,10,2,0,0,1,9,2,14.9,5.0,0.46,0
Noida,Rice & Grains,2,8,9,0,0,1,6,3,13.2,10.5,0.57,0
East Delhi,Fruits & Vegetables,4,13,2,0,0,0,4,4,14.5,13.3,0.44,0
North Delhi,Fruits & Vegetables,4,17,8,0,1,0,10,3,11.6,6.0,0.7,0
South Delhi,Cooked Meals,2,18,12,0,1,0,10,7,14.2,25.1,0.68,0
South Delhi,Bakery,2,8,8,0,0,1,10,6,3.6,20.6,0.66,1
East Delhi,Bakery,3,22,1,0,0,0,10,3,6.5,14.3,0.53,0
East Delhi,Fruits & Vegetables,5,13,6,1,0,0,10,5,15.5,24.0,0.93,0
Central Delhi,Bakery,5,14,3,1,0,0,11,2,9.8,14.2,0.92,1
East Delhi,Dairy,4,10,3,0,0,1,11,6,15.4,14.7,0.7,0
North Delhi,Cooked Meals,0,7,11,0,0,1,6,4,14.2,10.6,0.72,0
Gurgaon,Dairy,5,6,8,1,0,0,10,5,12.1,15.4,0.49,0
Central Delhi,Packaged Goods,1,18,5,0,1,0,2,3,8.8,5.1,0.37,1
Dwarka,Packaged Goods,1,16,10,0,0,0,7,6,17.6,5.0,0.5,1
East Delhi,Fruits & Vegetables,4,9,6,0,0,1,3,5,8.9,18.2,0.56,1
East Delhi,Cooked Meals,0,15,7,0,0,0,8,4,17.4,21.1,0.49,0
East Delhi,Fruits & Vegetables,4,16,4,0,0,0,9,8,9.7,5.0,0.54,0
Central Delhi,Packaged Goods,0,8,7,0,0,1,5,4,11.1,11.3,0.57,1
North Delhi,Cooked Meals,2,21,10,0,1,0,12,8,6.2,7.9,0.64,0
North Delhi,Cooked Meals,3,10,5,0,0,1,8,6,2.2,8.9,0.72,0
North Delhi,Dairy,4,12,6,0,0,0,3,7,9.8,13.0,0.5,0
Central Delhi,Dairy,5,9,3,1,0,1,8,6,14.6,18.4,0.76,0
Noida,Dairy,2,10,4,0,0,1,8,1,2.2,8.5,0.59,0
East Delhi,Rice & Grains,2,21,9,0,1,0,11,3,6.9,10.3,0.65,1
Noida,Bakery,3,15,10,0,0,0,10,8,13.2,5.0,0.37,0
Central Delhi,Packaged Goods,6,6,6,1,0,0,3,7,11.1,11.4,0.67,1
North Delhi,Dairy,3,14,11,0,0,0,11,4,13.4,8.4,0.47,0
Dwarka,Bakery,4,18,3,0,1,0,5,1,10.9,19.1,0.47,0
South Delhi,Bakery,0,20,6,0,1,0,8,4,8.3,11.7,0.67,1
Dwarka,Rice & Grains,5,7,12,1,0,1,5,6,18.0,14.7,0.72,1
Dwarka,Dairy,3,16,3,0,0,0,10,6,10.5,11.9,0.59,0
Central Delhi,Dairy,3,12,4,0,0,0,6,4,17.0,10.9,0.61,1
Central Delhi,Fruits & Vegetables,5,12,12,1,0,0,7,8,7.3,16.5,0.62,1
Central Delhi,Fruits & Vegetables,0,18,7,0,1,0,4,5,2.2,9.0,0.79,0
South Delhi,Fruits & Vegetables,3,14,12,0,0,0,5,5,16.9,21.7,0.65,1
Central Delhi,Bakery,0,13,4,0,0,0,10,4,12.0,13.9,0.65,1
North Delhi,Cooked Meals,3,16,12,0,0,0,12,3,1.6,29.4,0.76,0
East Delhi,Packaged Goods,5,21,8,1,1,0,6,6,6.2,11.2,0.58,1
North Delhi,Cooked Meals,5,13,9,1,0,0,2,3,8.4,11.6,0.87,0
East Delhi,Cooked Meals,6,18,8,1,1,0,6,1,1.7,19.9,0.68,1
South Delhi,Fruits & Vegetables,2,20,11,0,1,0,9,3,15.5,14.3,0.57,1
Dwarka,Fruits & Vegetables,1,9,6,0,0,1,9,5,13.4,17.5,0.59,1
North Delhi,Rice & Grains,2,15,10,0,0,0,5,3,11.6,12.6,0.77,0
Gurgaon,Packaged Goods,4,16,2,0,0,0,3,3,17.7,5.0,0.29,0
Dwarka,Fruits & Vegetables,1,6,5,0,0,0,9,5,17.2,15.9,0.55,0
Central Delhi,Dairy,5,6,5,1,0,0,5,1,12.5,13.9,0.85,1
Dwarka,Fruits & Vegetables,1,18,11,0,1,0,6,2,12.0,6.3,0.36,0
Central Delhi,Fruits & Vegetables,4,13,4,0,0,0,9,3,9.0,17.4,0.84,0
Noida,Packaged Goods,5,21,9,1,1,0,5,4,12.7,5.0,0.66,0
South Delhi,Dairy,3,22,12,0,0,0,11,2,2.5,11.1,0.64,1
West Delhi,Dairy,4,10,3,0,0,1,10,8,3.4,7.6,0.45,1
West Delhi,Rice & Grains,4,21,2,0,1,0,9,1,9.0,14.3,0.49,0
Gurgaon,Packaged Goods,4,7,9,0,0,1,6,1,8.0,6.3,0.37,0
North Delhi,Rice & Grains,1,8,1,0,0,1,3,1,16.9,12.7,0.53,0
South Delhi,Packaged Goods,0,15,7,0,0,0,4,7,7.7,6.1,0.68,1
Gurgaon,Packaged Goods,6,18,7,1,1,0,12,3,12.3,10.7,0.48,1
Noida,Cooked Meals,1,18,9,0,1,0,5,1,14.0,13.5,0.63,1
Central Delhi,Packaged Goods,5,19,9,1,1,0,5,4,9.1,7.1,0.83,1
East Delhi,Fruits & Vegetables,1,9,1,0,0,1,8,1,5.5,7.4,0.61,0
South Delhi,Cooked Meals,4,7,8,0,0,1,2,4,13.7,16.0,0.57,0
Gurgaon,Packaged Goods,1,12,1,0,0,0,6,4,15.0,5.0,0.38,1
Noida,Dairy,4,16,4,0,0,0,4,4,8.3,9.3,0.4,0
Central Delhi,Cooked Meals,4,11,11,0,0,1,10,8,2.3,21.9,0.56,0
Noida,Rice & Grains,5,18,9,1,1,0,8,7,4.0,16.0,0.6,1
Gurgaon,Bakery,6,21,4,1,1,0,6,3,14.8,7.4,0.62,0
North Delhi,Dairy,3,19,9,0,1,0,8,4,5.7,10.3,0.55,1
Noida,Rice & Grains,0,20,6,0,1,0,5,1,5.9,16.7,0.46,1
North Delhi,Cooked Meals,1,12,8,0,0,0,7,5,17.3,18.2,0.54,1
North Delhi,Bakery,1,9,12,0,0,1,9,4,13.0,12.7,0.69,0
West Delhi,Packaged Goods,1,16,5,0,0,0,10,6,6.6,5.0,0.37,0
Noida,Dairy,3,20,2,0,1,0,9,6,16.6,13.3,0.47,0
Noida,Fruits & Vegetables,3,7,10,0,0,1,4,1,5.8,10.1,0.41,0
Gurgaon,Fruits & Vegetables,1,12,6,0,0,0,11,4,9.7,7.2,0.43,1
Noida,Fruits & Vegetables,6,21,12,1,1,0,9,8,4.3,19.5,0.7,1
Noida,Bakery,1,21,3,0,1,0,10,1,10.1,10.1,0.4,0
South Delhi,Rice & Grains,0,6,7,0,0,0,12,4,2.6,13.8,0.68,1
East Delhi,Cooked Meals,1,22,8,0,0,0,11,8,12.4,15.0,0.58,1
North Delhi,Cooked Meals,4,19,1,0,1,0,6,5,1.8,19.6,0.86,1
Gurgaon,Bakery,0,9,9,0,0,1,5,5,15.0,10.8,0.39,1
Central Delhi,Packaged Goods,0,17,7,0,1,0,5,4,6.4,17.1,0.53,1
South Delhi,Rice & Grains,6,7,2,1,0,1,8,8,2.4,14.8,0.82,1
North Delhi,Rice & Grains,1,8,8,0,0,1,12,6,10.8,5.0,0.58,0
South Delhi,Dairy,0,13,4,0,0,0,11,8,6.0,14.5,0.86,0
South Delhi,Rice & Grains,2,7,3,0,0,1,7,1,17.4,19.5,0.7,0
East Delhi,Rice & Grains,6,18,2,1,1,0,11,4,10.9,25.4,0.57,1
Gurgaon,Rice & Grains,4,16,7,0,0,0,4,2,9.8,9.3,0.57,0
Noida,Cooked Meals,0,19,4,0,1,0,7,7,17.5,5.6,0.66,0
Noida,Cooked Meals,5,14,8,1,0,0,7,7,8.6,15.7,0.71,1
Gurgaon,Cooked Meals,6,15,4,1,0,0,3,5,4.0,15.8,0.95,0
East Delhi,Rice & Grains,3,16,6,0,0,0,2,5,8.8,12.6,0.62,1
Central Delhi,Cooked Meals,1,8,3,0,0,1,10,7,3.2,16.4,0.64,1
South Delhi,Fruits & Vegetables,4,8,10,0,0,1,7,7,1.7,19.0,0.59,0
Gurgaon,Packaged Goods,6,8,12,1,0,1,5,3,12.8,7.3,0.53,0
East Delhi,Bakery,2,15,5,0,0,0,3,3,8.7,10.8,0.55,0
Gurgaon,Fruits & Vegetables,3,8,6,0,0,1,5,8,11.3,12.6,0.4,1
West Delhi,Packaged Goods,0,10,5,0,0,1,8,6,15.4,5.3,0.35,1
Gurgaon,Fruits & Vegetables,3,16,7,0,0,0,12,3,6.5,5.0,0.49,0
West Delhi,Packaged Goods,2,11,7,0,0,1,6,8,17.5,10.4,0.36,0
West Delhi,Fruits & Vegetables,3,14,7,0,0,0,11,4,11.3,13.3,0.66,0
East Delhi,Rice & Grains,6,6,12,1,0,0,5,8,14.7,18.4,0.98,1
South Delhi,Packaged Goods,5,21,3,1,1,0,5,5,12.4,12.5,0.68,1
Gurgaon,Packaged Goods,0,20,10,0,1,0,8,7,10.5,5.0,0.52,0
Noida,Rice & Grains,6,8,2,1,0,1,12,6,4.2,17.1,0.71,0
North Delhi,Dairy,5,18,6,1,1,0,8,2,1.7,21.8,0.68,0
Central Delhi,Bakery,4,22,9,0,0,0,11,4,8.9,23.3,0.63,0
Gurgaon,Packaged Goods,6,22,3,1,0,0,2,8,3.2,6.8,0.65,1
Gurgaon,Cooked Meals,0,10,6,0,0,1,9,4,10.1,12.3,0.55,0
Noida,Packaged Goods,0,20,12,0,1,0,7,2,6.5,5.0,0.45,0
South Delhi,Cooked Meals,6,16,11,1,0,0,4,4,10.0,34.6,1.0,1
East Delhi,Fruits & Vegetables,4,19,8,0,1,0,8,3,4.6,20.6,0.5,1
Gurgaon,Packaged Goods,0,12,8,0,0,0,8,1,13.1,5.0,0.36,0
West Delhi,Fruits & Vegetables,6,8,10,1,0,1,10,3,7.5,14.1,0.83,1
West Delhi,Packaged Goods,0,14,11,0,0,0,10,6,11.4,5.0,0.6,0
Gurgaon,Dairy,0,17,6,0,1,0,11,3,14.9,8.6,0.42,0
